Complaint#,Code,Invoice,Seq,Order#,Customer,DT Complaint,Amt Claim,Return,Prod Group,Desc,Qty Claim,Close,Dt Approved,Amt Approved,Plant,CSC,Closing Text,SalesRep,ProdType,CCAR CostCenter,ShipTo,Invoice Amt,Sort Code,TX Code,Confirm To
AM00001,P1,UBC1595,A1,BU9A715,PACKAGING BY DESIGN,01/02/2020,135.52,N,BP,AMJK - weight discrepancy on pallet labels. Also claim they randomly weigh rolls and cores and often found a 2 lb over weight discrepancy. We should check our tare weights and scales. ,121,*,01/30/2020,135.52,AMJK,CD,weight discrepancy,CFRH,VA,, PACKAEL01,5585.44,B011,RS,PACKAEL01
AM00002,P1,UBC1132,A1,BUAA488,C-P FLEXIBLE PACKAGING,01/02/2020,162.34,N,BP,"AMJK= VA dirt on roll 9111600122.
requested sample to be sent to Donna Durio",174,*,01/30/2020,162.34,AMJK,MR,#90692 dirt on roll,CFLD,VA,, CPFLEYO02,6543.5,C047,RS,CPFLEYO01
AM00003,T1,UWC0689,A1,WUCA510,UNITED PACKAGING SUPPLY,01/02/2020,137.2,N,SW,DAMAGED IN TRANSIT - 40 RL,120.44,*,02/10/2020,137.2,AMJK,CS,"CH. ROBINSON, SCRAP IN FILED 40 RL",SWAN,PSB,, FIVEBPE01,19976.32,U064,RS,UNITEBR16
AM00004,M6,UW90946,A1,WU8A776,CLASSIC FILMS,01/02/2020,302.4,N,SW,DID NOT SUBMIT SPR - $27.64,0,*,01/15/2020,302.4,AMJK,CS,CREDIT PRICE DISCREPANCY,SWMN,EHB,, CLASSHR01,32142.72,C308,RS,CLASSHR02
AM00006,P1,TBC0616,A4,BTBA835,POLYFIRST PACKAGING,01/02/2020,3297.34,N,BP,TL18 CONVRTED MATERIAL (SEE AM90750),0,*,01/09/2020,3297.34,AMJK,DB,201900193/194/195 (converted TL18 material),CFBL,TL,, POLYFHA01,9021.05,P715,RS,POLYFHA01
AM00006,P1,UB21451,A1,BU2A383,POLYFIRST PACKAGING,01/02/2020,7000,N,BP,TL18 CONVERTED MATERIAL (SEE AM90750),0,*,01/09/2020,7000,AMJK,DB,201900193/194/195 (converted TL18 material),CFBL,HD,, POLYFHA01,7477.91,P715,RS,POLYFHA01
AM00006,P1,UB31796,A1,BU3A293,POLYFIRST PACKAGING,01/02/2020,6000,N,BP,"TL18 claims for treatment- we returned 13,671 lbs back to plant and this amount was credited already for $15,002.99.  For converted material they have open claim for $4,015.78 (20,250 impressions) and $24,297.34 (122,522 impressions).
We shipped 32,733 lbs TL18 total.  ",0,*,01/09/2020,6000,AMJK,DB,201900193/194/195 (converted TL18 material),CFBL,BA,, POLYFHA01,6100.24,P715,RS,POLYFHA01
AM00006,P1,UB61084,A1,BU5A466,POLYFIRST PACKAGING,01/02/2020,8000,N,BP,TL18 CONVERTED MATERIAL (SEE AM90750),0,*,01/09/2020,8000,AMJK,DB,201900193/194/195 (converted TL18 material),CFBL,HD,, POLYFHA01,8211.18,P715,RS,POLYFHA01
AM00006,P1,UB90469,A1,BU9A056,POLYFIRST PACKAGING,01/02/2020,4015.78,N,BP,"TL18 TREATMENT- $4,015.78 (20,250 impressions) ",0,*,01/09/2020,4015.78,AMJK,DB,201900193/194/195 (converted TL18 material),CFBL,TD,, POLYFHA01,4357.5,P715,RS,POLYFHA01
AM00007,DE,UBA1986,A1,BUAA823,"BEMIS COMPANY,INC",01/03/2020,2791.92,N,BP,"DUE TO A SYSTEM GLITCH THIS PAID SAMPLE ORDER SHIPPED OUT WITHOUT A PRICE ON 10/31.

PRICE SHOULD HAVE BEEN  $1.423 ",1962,*,01/15/2020,2791.93,AMSC,GO,Debit,CFBL,SP,, BEMISOS20,0,C035,SM,BEMISNE01
AM00008,P1,UB11091,A1,BU1A024,AMERICAN PACKAGING CORP.,01/06/2020,534.44,N,BP,AMJK- TD18- Pallet 00004096821- wrinkles coming off the roll after a supplier splice. Wrinkles did not go away so the roll was pulled off the press.,395,*,03/12/2020,534.44,AMJK,YM,#343 and #354,CFGF,TD,, BADGEFR01,49706.51,A050,RS,AMERICO05
AM00008,P1,UB11885,A2,BTCA438,AMERICAN PACKAGING CORP.,01/06/2020,912.73,N,BP,"AMJK- TD18- This has 3 rolls on the claims. 2 of the rolls had bagginess and register issues near the core. The third roll was about half way through when tension on the gear side slacked and caused register issues
roll #0004096821 and 0004096843 (scrapped 4096842/50)",767,*,03/12/2020,912.73,AMJK,YM,#343 and #354,CFGF,TD,, BADGEFR01,17444.23,A050,RS,AMERICO05
AM00009,M3,UB61426,A3,BU6A701,BRYCE CORPORATION,01/06/2020,93.88,N,BP,"BB25 price is correct at $1.025. Material billed 6/24. 2nd quarter pricing attached.

Adding more downtime- claim 4375 adjusted.
Total downtime $191.25. Entered $97.37 in claim AM91118.
 Difference of $93.88.- 
",0,*,01/10/2020,93.88,AMJK,YM,credit,CFJL,,, BRYCESE02,6856.23,B102,RS,BRYCEME04
AM00010,M4,UBC1631,A1,BUBA695,PRINTPACK,01/06/2020,7390.73,Y,BP,amjk- incorrectly billed ,8095,*,01/08/2020,7390.73,AMJK,SN,put back in consignment,CFMS,VA,, PRINTRH04,7390.74,P043,RS,PRINTRH04
AM00010,M4,UBC1636,A1,BUAA555,PRINTPACK,01/06/2020,13780.82,Y,BP,amjk- incorrectly billed,15094,*,01/08/2020,13780.82,AMJK,SN,put back in consignment,CFMS,VA,, PRINTRH04,13780.82,P043,RS,PRINTRH04
AM00010,M4,UBC1637,A1,BUAA556,PRINTPACK,01/06/2020,1831.47,Y,BP,AMJK- Incorrectly billed ,2006,*,01/08/2020,1831.47,AMJK,SN,put back in consignment,CFMS,VA,, PRINTRH04,1831.48,P043,RS,PRINTRH04
AM00010,M4,UBC1639,A1,BUBA693,PRINTPACK,01/06/2020,7907.49,Y,BP,amjk- incorrectly billed,8661,*,01/08/2020,7907.49,AMJK,SN,put back in consignment,CFMS,VA,, PRINTRH04,7907.49,P043,RS,PRINTRH04
AM00010,M4,UBC1640,A1,BUBA694,PRINTPACK,01/06/2020,2023.2,Y,BP,amjk- incorrectly billed ,2216,*,01/08/2020,2023.2,AMJK,SN,put back in consignment,CFMS,VA,, PRINTRH04,2023.21,P043,RS,PRINTRH04
AM00010,M4,UBC1641,A1,BU9A915,PRINTPACK,01/06/2020,11872.92,Y,BP,amjk- incorrectly billed,10963,*,01/08/2020,11872.92,AMJK,SN,put back in consignment,CFMS,TE,, PRINTRH04,11872.93,P043,RS,PRINTRH04
AM00010,M4,UBC1651,A1,BUAA718,PRINTPACK,01/06/2020,4594.08,Y,BP,amjk- incorrectly billed ,4242,*,01/08/2020,4594.08,AMJK,SN,put back in consignment,CFMS,TE,, PRINTRH04,4594.09,P043,RS,PRINTRH04
AM00011,P1,UBA0175,A2,BU8A176,"GOLDEN DYNAMIC,INC",01/06/2020,1746.4,N,BP,"Roll # 9081800701 & 9081800707 are rejected due to wrinkles, blocking and canning.",1480,*,02/04/2020,1746.4,AMSC,LA,#3027/3028/3092 wrinkles,HQLA,SP,, MULTIBO04 MULTIWH01,44829.38,D230,RS,GOLDEGA02
AM00011,P1,UBB0716,A1,BUAA186,"GOLDEN DYNAMIC,INC",01/06/2020,1153.11,N,BP,Roll # 9101800450 & 9101800414 are rejected due to wrinkles and surface defects,969,*,02/04/2020,1153.11,AMSC,LA,#3027/3028/3092 wrinkles,HQLA,SP,, MULTIBO04 MULTIWH01,45406.83,D230,RS,GOLDEGA02
AM00013,S1,UB90242,A2,BU7A171,PRINTPACK,01/07/2020,1503.44,Y,BP,amsc- brt25- never shipped out from outside warehouse. ,1531,*,01/08/2020,1503.44,AMSC,SN,pallet not shipped from warehouse,CFMS,BRT,, PRINTRH04,12663.87,P043,RS,PRINTRH04
AM00014,P1,UB51903,A2,BU5A927,BRYCE CORPORATION,01/07/2020,1382.44,N,BP,"KM25 - pinholes in metal
799.1 lbs raw material @ $24.0796/lb (got Bryce to revise claim to just the cost of the film - revised claim in documents)",799.1,*,01/10/2020,1382.44,AMJK,YM,#2270 pinholes 799.10 lbs,CFJL,KM,, BRYCEME11,8148.3,B102,RS,BRYCEME04
AM00015,M5,UBB1101,A1,BUAA941,AMERICAN PACKAGING CORP.,01/08/2020,103.82,N,BP,Discount Charge for Citibank payment.,0,*,01/10/2020,103.82,AMJK,YM,Citibank discount,CFGF,,, AMERIDM06 AMERIDM08 AMERIDM10 BADGEFR02,6120.03,A050,RS,AMERISC01
AM00015,M5,UBB1367,A1,BU9A139,AMERICAN PACKAGING CORP.,01/08/2020,305.94,N,BP,Discount Charge for Citibank payment.,0,*,01/10/2020,305.94,AMJK,YM,Citibank discount,CFGF,,, AMERIDM06 AMERIDM08 AMERIDM10 BADGEFR02,2756.67,A050,RS,AMERICO05
AM00015,M5,UBB1539,A1,BU8A962,AMERICAN PACKAGING CORP.,01/08/2020,3642.32,N,BP,Discount Charge for Citibank payment.,0,*,01/10/2020,3642.32,AMJK,YM,Citibank discount,CFGF,,, AMERIDM06 AMERIDM08 AMERIDM10 BADGEFR02,48975.37,A050,RS,AMERICO05
AM00015,M5,UBB1552,A1,BU9A657,AMERICAN PACKAGING CORP.,01/08/2020,758.07,N,BP,Discount Charge for Citibank payment.,0,*,01/10/2020,758.07,AMJK,YM,Citibank discount,CFGF,,, AMERIDM06 AMERIDM08 AMERIDM10 BADGEFR02,6856.61,A050,RS,AMERISC01
AM00015,M5,UBC0221,A1,BUAB039,AMERICAN PACKAGING CORP.,01/08/2020,1196.65,N,BP,Discount Charge for Citibank payment.,0,*,01/10/2020,1196.65,AMSC,AH,Citibank discount,CFGF,,, AMERIDM06 AMERIDM08 AMERIDM10 BADGEFR02,31837.77,A050,RS,AMERISC01
AM00015,M5,UBC0296,A1,BUAA512,AMERICAN PACKAGING CORP.,01/08/2020,431.29,N,BP,Discount Charge for Citibank payment.,0,*,01/10/2020,431.29,AMJK,YM,Citibank discount,CFGF,,, AMERIDM06 AMERIDM08 AMERIDM10 BADGEFR02,11337.69,A050,RS,AMERICO05
AM00015,M5,UBC0570,A1,BUAA343,AMERICAN PACKAGING CORP.,01/08/2020,1716.99,N,BP,Discount Charge for Citibank payment.,0,*,01/10/2020,1716.99,AMSC,YM,Citibank discount,CFGF,,, AMERIDM06 AMERIDM08 AMERIDM10 BADGEFR02,9529.79,A050,RS,AMERISC01
AM00015,M5,UBC0695,A1,BU9A396,AMERICAN PACKAGING CORP.,01/08/2020,111.53,N,BP,Discount Charge for Citibank payment.,0,*,01/10/2020,111.53,AMJK,YM,Citibank discount,CFGF,,, AMERIDM06 AMERIDM08 AMERIDM10 BADGEFR02,9604.81,A050,RS,AMERISC01
AM00015,M5,UBC0967,A1,BUAA511,AMERICAN PACKAGING CORP.,01/08/2020,82.86,N,BP,Discount Charge for Citibank payment.,0,*,01/10/2020,82.86,AMJK,YM,Citibank discount,CFGF,,, AMERIDM06 AMERIDM08 AMERIDM10 BADGEFR02,7421.47,A050,RS,AMERICO05
AM00015,M5,UBC0977,A1,BUAB061,AMERICAN PACKAGING CORP.,01/08/2020,140.52,N,BP,Discount Charge for Citibank payment.,0,*,01/10/2020,140.52,AMJK,YM,Citibank discount,CFGF,,, AMERIDM06 AMERIDM08 AMERIDM10 BADGEFR02,12345.46,A050,RS,AMERICO05
AM00015,M5,UBC0983,A1,BUAA270,AMERICAN PACKAGING CORP.,01/08/2020,114.62,N,BP,Discount Charge for Citibank payment.,0,*,01/10/2020,114.62,AMJK,YM,Citibank discount,CFGF,,, AMERIDM06 AMERIDM08 AMERIDM10 BADGEFR02,10612.51,A050,RS,AMERISC01
AM00015,M5,UBC1580,A1,BUCA419,AMERICAN PACKAGING CORP.,01/08/2020,2405.1,N,BP,Discount Charge for Citibank payment.,0,*,01/10/2020,2405.1,AMJK,YM,Citibank discount,CFGF,,, AMERIDM06 AMERIDM08 AMERIDM10 BADGEFR02,5288.32,A050,RS,AMERISC01
AM00016,R1,UBC1714,A1,BUAA737,PRINTPACK VR2(CONSGT-AMJK)GMI,01/08/2020,15248.04,N,BP,"PPK Consignment Storage Allowance - December 2019
Total lbs shipped: 1,524,803.56 lb. 
Rebate: $0.01
Total Rebate: $15,248.04",1524803.56,*,01/10/2020,15248.04,AMSC,SN,consignment storage rebate December 2019,CFMS,VA,, PRINTVR23,4220.97,P043,RS,PRINTVR22
AM00017,M4,UW30425,A2,WU3A180,TAPE PRODUCTS CO.,01/08/2020,850,N,SW,2020 National Sales Meeting,0,*,01/10/2020,850,AMJK,CSM,"2020 National Sales Meeting	",SWKM,,, TAPEPOR01,8729.08,T105,RS,TAPEPCI01
AM00018,M4,TWB0895,A1,WTBA628,PROFESSIONAL PACKAGING SYSTEMS INC.,01/08/2020,800,N,SW,"MRO TRADE SHOW, INV MX00033",0,*,01/10/2020,800,AMJK,CSM,"MRO TRADE SHOW, INV MX00033	",SWPB,,, FULTOHO01,5175.36,P463,RS,PROFEGP01
AM00019,P1,UBA1647,A1,BU9A950,EMUSA S.A.,01/09/2020,4764.03,N,BP,JDM - Film appearance ,3272,*,03/03/2020,4764.03,AMJK,PV,#65830 film appearance. ,AMJO,JDM,, EMUSAVN01,42325.42,E068,ES,EMUSAVN01
AM00020,P1,UBB1228,A1,BUAA515,TRANSCENDIA,01/09/2020,1395.23,N,BP,"Master roll received has deep wrinkles which is causing quality issues - pictures attached below in a pdf file. 
Inteplast Reference Lot Number: 0004179950
",1178,*,01/23/2020,1395.23,AMJK,PV,#0133B5 wrinkles,CFJM,BA,, TRANSGR03,4657.65,T025,RS,TRANSGR03
AM00023,M4,UW31168,A1,WU3A808,AHOLD U.S.A INC,01/09/2020,400,N,SW,Write off aged balance,0,*,01/13/2020,400,AMJK,JAH,Write off aged balance,SWSP,,, AHOLDCA03,35060.48,A984,RS,AHOLDCA03
AM00024,P1,UBC1043,A1,BUAA550,KENDALL PACKAGING CORP,01/09/2020,398.43,N,BP,"VA25- AMJK- dirt/debris wound in film - 273 lbs rejected + 30 min downtime
sample requested be sent to Lolita - pictures attached of printed and clear",273,*,02/21/2020,398.43,AMJK,MR,#202000010 debris in roll,CFBL,VA,, KENDAJE01,4708.34,K005,RS,KENDAME01
AM00025,P1,UBA1971,A1,BUAA621,PROAMPAC,01/09/2020,1720.13,N,BP,"TT18 - AMJK- Web break due to dings in film causing downtime $705 +. 1101 lbs
sample being sent to Lolita. Pictures attached. 

CB portion of 440 lbs is for Morristown plant to register claim.",1541,*,04/20/2020,1720.13,AMJK,DB,#V-102-19 web breaks ,CFBL,TT,, PROLAWR02,4888.21,P958,RS,PROAMWR01
AM00026,P1,UBB0233,A1,BU9A916,"PRINTPACK PACKAGING DE MEXICO,S.A. DE CV",01/10/2020,1230.87,N,BP,WRINKLES,1138,*,01/30/2020,1230.87,AMJK,PV,#28-2495-2 wrinkles,AMMS,TE,, PRINTLA01,25143.52,P533,ES,PRINTQT01
AM00027,P1,UB40239,A3,BU4A168,BRYCE CORPORATION,01/10/2020,212.5,N,BP,AMJK- CWG- S000066880 mislabeled. Downtime not included in original claim- AM90901.,0,*,01/10/2020,212.5,AMSC,YM,#2083 downtime,CFJL,,, BRYCEME11,53507.4,B102,RS,BRYCEME04
AM00028,P1,TBB1450,A1,BTBA460,"POLY PRINT,INC.",01/10/2020,1193.94,N,BP,amsc- brt15- baggy edges,891,*,02/04/2020,1193.94,AMSC,SN,Baggy edges,CFDH,BRT,, POLYPTU05,8387.06,P038,RS,POLYPTU05
AM00029,M1,VW10354,A1,WV1A146,SOUTHERNCARLSON (ACCOUNTS PAYABLE ),01/10/2020,3993.6,Y,SW,"KEY IN ERROR - ENTERED 16"" INSTEAD OF 18""",4644,*,02/03/2020,3993.6,AMAZ,CY,RTN 192 CS BACK TO FG,SWCK,HSB,, SOUTHEP16,9268.6,C326,RS,SOUTHEP16
AM00030,M4,UW20280,A1,WU1A559,ASSOCIATED PACKAGING,01/10/2020,1500,N,SW,2020 VENDOR SHOW,0,*,01/13/2020,0,AMAZ,EV,2020 VENDOR SHOW- PAPERWORK FOR RECORD ONLY,SWMD,,, ASSOCST06,13719.72,A696,RS,ASSOCST06
AM00031,R1,UBB0048,A1,BUAA800,EMERALD PACKAGING,01/10/2020,62517.29,N,BP,"Emerald Pkg. - 2019 Annual Rebate 
All Films, 2,778,546 lbs
Qualify for $0.0225/lb. rebate 
Rebate amount is $62,517.29",2778546,*,01/17/2020,62517.29,AMJK,SN,2019 Annual rebate,CFDH,VA,, EMERAUC08,3193.19,E362,RS,EMERAUC04
AM00032,M4,UBC0931,A1,BUBA864,AMPAC. A DIVISON OF PROAMPAC,01/10/2020,2658.87,Y,BP,"Material needs to be ""returned"" to be rebilled  under Canadian dollars.",2790,*,01/15/2020,2658.87,AMJK,DB,Billed wrong currency,CFBL,CL,, AMPACTE02 PROAMRI01,2658.87,PB46,RS,AMPACTE02
AM00032,M4,UBC0932,A1,BUBA866,AMPAC. A DIVISON OF PROAMPAC,01/10/2020,1992.72,Y,BP,"Material needs to be ""returned"" to be billed under Canadian dollars ",2091,*,01/15/2020,1992.72,AMJK,DB,Billed wrong currency,CFBL,CL,, AMPACTE02 PROAMRI01,1992.72,PB46,RS,AMPACTE02
AM00032,M4,UBC1289,A1,BUBA867,AMPAC. A DIVISON OF PROAMPAC,01/10/2020,19789.86,Y,BP,"Material needs to be ""returned"" to be billed under Canadian dollars ",21211,*,01/15/2020,19789.86,AMJK,DB,Billed wrong currency,CFBL,TT,, AMPACTE02 PROAMRI01,19789.86,PB46,RS,AMPACTE02
AM00032,M4,UBC1290,A1,BUBA868,AMPAC. A DIVISON OF PROAMPAC,01/10/2020,13432.83,Y,BP,"Material needs to be ""returned"" to be billed under Canadian dollars ",13941,*,01/15/2020,13432.82,AMJK,DB,Billed wrong currency,CFBL,TT,, AMPACTE02 PROAMRI01,13432.83,PB46,RS,AMPACTE02
AM00032,M4,VB10478,A1,BUCA484,AMPAC. A DIVISON OF PROAMPAC,01/10/2020,5528.54,Y,BP,"Material needs to be ""returned"" to be billed under Canadian dollars ",6062,*,01/15/2020,5528.54,AMJK,DB,Billed wrong currency,CFBL,CL,, AMPACTE02 PROAMRI01,5528.54,PB46,RS,AMPACTE02
AM00033,P1,UBA0193,A1,BU9A352,"GOLDEN DYNAMIC,INC",01/10/2020,440.3,N,BP,Roll # 9091800718 was rejected due to wrinkles,370,*,02/04/2020,440.3,AMSC,LA,#3154 wrinkles,HQLA,SP,, MULTISF01,46273.15,D230,RS,GOLDEGA02
AM00034,P1,UBC1441,A2,BUBA971,PRINTPACK INC (METALLIZING),01/10/2020,545.43,N,BP,AMSC - NWP18 web break due to splicing error - downtime $450,35,*,03/12/2020,545.43,AMSC,DB,#33-50847 web break,CFMS,NWP,, PRINTVR11,3599.7,P043,RS,PRINTVR14
AM00035,R1,UBC0148,A1,BUBA999,GARLOCK PRINTING & CONVERTING CORP,01/10/2020,89738.08,N,BP,"Garlock. - 2019 Annual Rebate 
All Films, 3,589,523,18 lbs
Qualify for $0.025/lb. rebate 
Rebate amount is $89,738.08",3589523.18,*,01/15/2020,89738.08,AMJK,MR,2019 annual rebate,CFDH,BFP,, GARLORE01,16124.33,G002,RS,GARLOGA01
AM00036,P1,UBC0879,A1,BUBA986,PRINTPACK INC (METALLIZING),01/10/2020,993.89,N,BP,AMSC NWP18 - corrugations and web break - downtime $639,249,*,02/19/2020,993.89,AMSC,DB,#33-50846 corrugation/web breaks,CFMS,NWP,, PRINTVR11,4927.9,P043,RS,PRINTVR14
AM00037,P1,UBC1514,A1,BUBA118,PRINTPACK METALLIZING - FRITO,01/10/2020,1001.79,N,BP,AMSC NWF18 - web breaks from splicing error - downtime $729,60,*,03/12/2020,1001.79,AMSC,DB,#33-50851 web break,CFMS,NWF,, PRINTVR39,32096.59,P043,RS,PRINTVR39
AM00038,P1,UBC1514,A2,BUBA118,PRINTPACK METALLIZING - FRITO,01/10/2020,332.86,N,BP,AMSC NWP18 - web break from splicing error,38,*,03/12/2020,332.86,AMSC,DB,#33-50852 web break,CFMS,NWF,, PRINTVR39,32096.59,P043,RS,PRINTVR39
AM00039,M4,UWA0316,A1,WUAA094,KENT H LANDSBERG BUSINESS CENTER,01/10/2020,115.2,N,SW,PRICE DISPUTE - $14.81 CS,0,*,01/15/2020,115.2,AMAZ,JAH,CREDIT PRICE DISCREPANCY,SWLU,PSB,, PANTOSB01,7224,K103,RS,KENTHCR01
AM00040,M1,UBC2026,A1,BUAAADE,BRYCE CORPORATION,01/13/2020,1087.76,N,BP,Pallet S000090577 was billed twice- under UBC2026 and UBC2025.,1246,*,01/14/2020,1087.76,AMSC,YM,double billed ,CFYG,VG,, BRYCEME11,1087.76,B102,RS,BRYCEME04
AM00041,P1,UBB0777,A2,BUAA111,PRINTPACK,01/13/2020,334.32,N,BP,"amsc- brt15- roll should be 66.5"" and is 66""
Will keep roll with new label. Just need to credit difference in weight + downtime $312.50",22,*,02/18/2020,334.32,AMSC,SN,#17-2014 new label sent for width,CFMS,BRT,, WESTSWA03,7076.05,P043,RS,PRINTRH04
AM00043,P1,UB81484,A1,BU7A774,ADMIRAL PACKAGING,01/13/2020,747.67,N,BP,wrinkles in film after splice roll #9081100052/58,561,*,01/23/2020,747.67,AMJK,MR,#7828/7829 wrinkles,CFLD,TD,, ADMIRPR01,2652.01,U003,RS,ADMIRPR01
AM00044,P1,UBB1404,A1,BUAA036,PRINTPACK INC (METALLIZING),01/14/2020,252.23,N,BP,AMSC NWP18 - WEB BREAK DUE TO SPLICING ERROR - Downtime $148.50,25,*,03/12/2020,252.23,AMSC,DB,#33-50834 web break,CFMS,NWP,, PRINTVR21,16607.3,P043,RS,PRINTVR21
AM00045,P1,UBC1628,A1,BUCA331,C-P FLEXIBLE PACKAGING,01/14/2020,432.91,N,BP,baggy film - roll #9121501061,464,*,01/30/2020,432.91,AMJK,MR,#90696 baggy,CFLD,VA,, CPFLEYO02,28981.26,C047,RS,CPFLEYO01
AM00046,P1,VB10729,A1,BUBA142,C-P FLEXIBLE PACKAGING,01/14/2020,2474.41,N,BP,"AMJK- baggy edges causing wrinkles. See video.
roll #9121400112/9121400160/0011400066",2774,*,03/13/2020,2474.41,AMJK,MR,#003-20 baggy edges,CFLD,VA,, CPFLEYO02,8484.1,C047,RS,CPFLEYO01
AM00047,M1,UBC0553,A1,BUBA874,AMERICAN PACKAGING CORP.,01/14/2020,11876.62,Y,BP,BOL canceled and pallets still at AMSC - need to do sales return in system,14717,*,01/16/2020,11876.61,AMSC,AH,pallets not shipped,CFGF,ZT,, AMERIDM10,11876.62,A050,RS,AMERISC01
AM00048,M1,UBC1755,A1,BUCA362,PPC FLEXIBLE PACKAGING,01/14/2020,3425.5,Y,BP,pallets not shipped,2635,*,01/16/2020,3425.5,AMSC,PV,pallets not shipped,CFRH,ALF,, PPCFLPA01,37779.3,P027,RS,PPCFLPA01
AM00049,T1,UW80313,A1,WU8A179,HOWARD PAPER & PACKAGING,01/14/2020,191.36,N,SW,DAMAGED IN TRANSIT - 12 RL,233.28,*,01/21/2020,191.36,AMJK,CSM,"SAIA, SCRAP IN FIELD 12 RL",SWPBS,HLB,, HOWARME02,5028.56,H042,RS,HOWARME01
AM00050,T3,UWC1071,A1,WUCA597,PALMER PACKAGING INC,01/14/2020,1594.88,N,SW,MISSING 2 PALLETS,1792,*,01/21/2020,1594.88,AMJK,CSM,CLAIM CAL FREIGHT FOR MISSING PALLET,SWMZ,EPB,, PALMEAD01,20777.28,P536,RS,PALMEAD01
AM00051,P1,UBC0335,A1,BUBA113,PRINTPACK METALLIZING - FRITO,01/15/2020,723.45,N,BP,AMSC NWF18 - WEB BREAK DUE TO SPLICING ERROR - DOWNTIME $598.50,30,*,03/12/2020,723.45,AMSC,DB,#33-50838 web break,CFMS,NWF,, PRINTVR39,10163.11,P043,RS,PRINTVR39
AM00052,P1,UBB1649,A1,BUBA113,PRINTPACK METALLIZING - FRITO,01/15/2020,1584.41,N,BP,"AMSC NWF18 - 3x WEB BREAK DUE TO SPLICING ERROR - DOWNTIME $1,584.41",267,*,03/12/2020,1584.41,AMSC,DB,#33-50839 web break,CFMS,NWF,, PRINTVR39,30256.15,P043,RS,PRINTVR39
AM00053,R1,UBB0863,A1,BUAA902,TRANSCONTINENTAL MULTIFILM INC.,01/15/2020,44006.24,N,BP,"TC/Transcontinental Packaging Rebate: Q4 2019
Total lbs shipped: 2,200,312 lb. 
Rebate rate: $0.02
Total Rebate: $44,006.24",2200312,*,01/16/2020,44006.24,AMJK,MR,Q4 rebate 2019,CFGF,VA,, MULTIEL01,23520.81,M206,RS,TRANSEL08
AM00054,T1,VB10455,A1,BUBA130,ASSOCIATED PACKAGING INC,01/15/2020,340.86,N,BP,7 rolls damaged in transit,299,*,01/16/2020,340.86,AMJK,MR,7 rolls damaged in transit,CFJM,CL,, ASSOCTA13,11468.4,AB46,RS,ASSOCTA13
AM00055,S7,UB91340,A1,BU7A628,3M JAPAN PRODUCTS LIMITED,01/15/2020,1304.42,N,BP,Pallet: 4154152 was damaged. ,0,*,03/12/2020,1304.42,AMJK,YM,pallet damage,CFDP,KT,, 3MJAPTO01,7663.01,M020,ES,3MJAPTO01
AM00056,P1,UBC1046,A1,BUBA210,KENDALL PACKAGING CORP,01/15/2020,635.03,N,BP,"VA18 - AMJK baggy edge roll #9124400026 
533 lbs + 30 min downtime = $150",533,*,03/03/2020,635.03,AMJK,MR,#202000018 baggy edge,CFBL,VA,, KENDAJE01,3781.05,K005,RS,KENDAME01
AM00057,P1,VB10540,A1,BUCA424,KENDALL PACKAGING CORP,01/15/2020,497.24,N,BP,"VA25 - AMJK - baggy edge roll #9124200238
511 lbs + 30 min downtime = $45",511,*,03/03/2020,497.24,AMJK,MR,#202000019 baggy edge,CFBL,VA,, KENDAJE01,11490.84,K005,RS,KENDAME01
AM00058,M2,VW10183,A1,WUCA038,H.E.BAUMRUCKER,01/16/2020,268.8,N,SW,KEY IN ERROR - PRICE,0,*,01/21/2020,268.8,AMJK,CSM,CREDIT PRICE DISCREPANCY,SWMZ,ELB,, HEBAUIT01,10589.76,H085,RS,HEBAUIT01
AM00059,M4,VB10218,A1,BV1A109,AVERY DENNISON,01/17/2020,2965.79,Y,BP,"pallet S000090832 not shipped because too much weight and it was deleted from pick list. Need sales return.
This shipped from Morristown",3067,*,01/17/2020,2965.78,AMSC,AH,pallet not shipped,CFTO,BNY,, AVERYQU02,17768.63,A455,RS,AVERYQU01
AM00060,M4,UWB1008,A1,WUBA620,"HUGO'S INDUSTRIAL SUPPLY, INC",02/18/2020,2130.24,Y,SW,CUSTOMER RETURN  - 588 RL,1784,*,03/07/2020,1863.96,AMJK,CSM,"RTN 2016 RL BACK TO FG, 84 RL REPACK",SWPB,PSB,, HUGOSOC01,11982.6,H263,RS,HUGOSIN08
AM00060,M4,UWC0948,A1,WUCA791,"HUGO'S INDUSTRIAL SUPPLY, INC",02/18/2020,4868.64,Y,SW,"CUSTOMER RETURN  - 1512 RL
",4014,*,03/07/2020,4868.64,AMJK,CSM,"RTN 2016 RL BACK TO FG, 84 RL REPACK",SWPB,PSB,, HUGOSOC01,4868.64,H263,RS,HUGOSIN08
AM00061,DE,VB10346,A1,BVAAACJ,BRYCE CORPORATION,01/20/2020,6717.42,N,BP,"Pricing Type changed to become effective on the 15th  of each quarter (1/15, 4/15, 7/15, 10/15). 
",0,*,01/23/2020,6717.42,AMSC,YM,Debit price,CFYG,,, BRYCESE15,6888.13,B102,RS,BRYCEME04
AM00062,T3,VW10298,A1,WV1A161,"HISCO, INC.",01/20/2020,1741.92,N,SW,SAIA LOST 1 PALLET,1659,*,01/30/2020,1741.92,AMJK,CSM,CLAIM SAIA FOR MISSING PALLET,SWPBS,HCB,, HISCOAU03,1741.92,H166,RS,HISCOAU03
